JURISDICTI3,DischargeJ_cf,DischargeJ_af,acres_juris_soc,QperArea_cfperacre
LAGUNA WOODS,2151081.2541188886,49.38203062715539,756.0075789,2845.3170499279086
ALISO VIEJO,129700208.63005537,2977.5070851711516,4298.475849,30173.534337811598
LAGUNA BEACH,6306449.660659527,144.77616300871276,5632.041056,1119.7449730841463
ORANGE CO,79984977.76858379,1836.2024281125755,94761.16102,844.0692041721861
LAKE FOREST,17775100.032874435,408.0601476784765,3303.943395,5379.965062287163
LAGUNA HILLS,33866703.73404202,777.4725375124431,3498.38696,9680.662580002876
DANA POINT,19414159.408850923,445.68777338959876,4071.560352,4768.235696006434
RANCHO SANTA MARGARITA,39167095.21576705,899.1527827311077,8280.210526,4730.205239683424
MISSION VIEJO,38676546.1112759,887.8913248685926,11525.93439,3355.6104696233565
LAGUNA NIGUEL,179498914.48155913,4120.728064314948,9463.773977,18966.94858919908
SAN JUAN CAPISTRANO,22093139.192821592,507.1886867038933,9220.309393,2396.1385948279094
SAN CLEMENTE,23343575.89101077,535.894763338172,11739.01617,1988.546191005951
