JURISDICTI3,DischargeJ_cf,DischargeJ_af,,,,
ALISO VIEJO,116347522.4,2671.0,,"4,299",,"27,064"
DANA POINT,13188470.49,302.8,,"4,072",,"3,239"
LAGUNA BEACH,3197852.586,73.4,,"5,632",,568
LAGUNA HILLS,30382783.63,697.5,,"3,498",,"8,686"
LAGUNA NIGUEL,103212442.9,2369.4,,"9,464",,"10,906"
LAGUNA WOODS,1275233.394,29.3,,756,,"1,687"
LAKE FOREST,13086268.75,300.4,,"3,303",,"3,962"
MISSION VIEJO,29837016.65,685.0,,"11,525",,"2,589"
ORANGE CO,54406355.72,1249.0,,"94,761",,574
RANCHO SANTA MARGARITA,26145050.57,600.2,,"8,280",,"3,158"
SAN CLEMENTE,19982422.46,458.7,,"11,739",,"1,702"
SAN JUAN CAPISTRANO,8842496.995,203.0,,"9,220",,959
,,,,,,
,,9639.7,,,,
,,,,,,"5,424"
,,803.3,,,,
