FacilityID,JURISDICTI3,Qadj_Qall
I01-11023-1,LAGUNA BEACH,18260.265700440472
I01-11023-1,ORANGE CO,36409.42552361482
J01-9031-1,LAKE FOREST,428655.226209956
J01-9224-2 (J01P25),ALISO VIEJO,5993.861828325905
J01-9224-2 (J01P25),LAGUNA NIGUEL,359869.5285508992
L02-374-1 (L02P50),ORANGE CO,2819475.9723715195
L02-641-1,ORANGE CO,4986.284926966567
L02-641-1,RANCHO SANTA MARGARITA,843182.469984656
L03-662-3 (L03P16),MISSION VIEJO,257898.81600000005
L04-266-5,MISSION VIEJO,4000029.057504
L05-489-3,ORANGE CO,29545076.777328
I00-11468-1,LAGUNA BEACH,212793.76400754126
I00-11468-1,ORANGE CO,19089.643866775274
I01-11010-1,LAGUNA BEACH,202915.75420800003
I01-11343-2 (I02P18),LAGUNA WOODS,26583.60972323406
J01-10004-1 (J01P01),LAKE FOREST,2050623.5094314318
J01-9007-1 (J02P05),ALISO VIEJO,677326.4713948012
J01-9007-1 (J02P05),ORANGE CO,12455.793598780088
J01-9082-2,ALISO VIEJO,998641.6316034046
J01-9082-2,ORANGE CO,21969.628370704308
J01-9131-1 (J01P28),ALISO VIEJO,236560.03199999995
J01-9224-1 (J01P24),ALISO VIEJO,2634.1015151823053
J01-9224-1 (J01P24),LAGUNA NIGUEL,158150.60433060143
J01-9349-1,LAKE FOREST,0
J01-9349-1,MISSION VIEJO,0
J01-9377-1,LAKE FOREST,64105.99288105596
J01-9377-1,MISSION VIEJO,1258.630263321107
J01-9992-1 (J01P27),ALISO VIEJO,432180.7921682628
J01-9992-1 (J01P27),ORANGE CO,1267.6285979957179
J03-9221-1 (J03P02),LAGUNA NIGUEL,2363508.1934956796
J06-10011-1 (J06P01),ALISO VIEJO,486377.92818020063
J06-10011-1 (J06P01),LAGUNA HILLS,682198.5901776025
J06-10011-1 (J06P01),LAGUNA WOODS,1248649.7842748633
J06-10011-1 (J06P01),LAKE FOREST,751296.2870919254
J06-9079-1 (J06P03),ALISO VIEJO,751510.5920908037
K01-12126-1 (K01S01),DANA POINT,2401759.02142806
K01-12126-1 (K01S01),LAGUNA NIGUEL,6437196.487691939
K01-12159-2,DANA POINT,1673540.3519999993
K01-12159-3,DANA POINT,133122.52800000002
K01-12177-1 (K01P07),LAGUNA NIGUEL,1099058.44356
L01-340-1,ORANGE CO,106950.06735932868
L01-340-1,RANCHO SANTA MARGARITA,1313.8942256581051
L01-404-1,ORANGE CO,765057.1882060798
L01-724-1 (L01S01),DANA POINT,245138.73214270748
L01-724-1 (L01S01),LAGUNA NIGUEL,174089.35162087894
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,256083.45119911397
L01-724-4 (L01P03),LAGUNA NIGUEL,468158.31861034513
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1145681.827242111
L01-726-5,DANA POINT,111410.6356577293
L01-726-5,SAN JUAN CAPISTRANO,7448.763165562618
L01-728-5 (L01-DP),DANA POINT,0
L01-731-1 (L08TBN2),ORANGE CO,723305.629006651
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,11606237.02728475
L02-166-3 (L02P26),ORANGE CO,1759.6301883248925
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,311594.45914611226
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,1257301.4399999997
L02-641-2,ORANGE CO,20483.18968395988
L02-641-2,RANCHO SANTA MARGARITA,3463714.3131314125
L03-214-2 (L03P18),MISSION VIEJO,1863878.8123590364
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,88783.6516800166
L03-316-3 (L03P12),MISSION VIEJO,893435.1835532822
L03-418-8,LAGUNA NIGUEL,188453.84949148304
L03-418-8,MISSION VIEJO,1719639.2671055028
L04-672-1,MISSION VIEJO,665335.962144
L05-049-1,ORANGE CO,6237821.599848001
L05-503-1,SAN JUAN CAPISTRANO,1199564.4170879999
M01-042-1 (M01S01),SAN CLEMENTE,9329.904
M01-047-1,SAN CLEMENTE,7723173.242447999
M02-032-1,SAN CLEMENTE,3628866.1607999997
M02-085-1 (M02P06),ORANGE CO,174.54166027466977
M02-085-1 (M02P06),SAN CLEMENTE,251732.86631957273
M02-085-2,SAN CLEMENTE,550464.336
J01-9273-1,LAGUNA HILLS,0
J01-9273-1,LAGUNA WOODS,0
I00-11437-1,LAGUNA BEACH,884404.4774386247
I00-11437-1,ORANGE CO,32344.310602542966
L01-766-9,SAN JUAN CAPISTRANO,3621248.902656001
