Station,date,Flow_cfs_md,wet_within_72
K01-12058-1 (K01P08),2022-08-25,0.006,FALSE
K01-12058-1 (K01P08),2022-08-26,0.012,FALSE
K01-12058-1 (K01P08),2022-08-27,0.012,FALSE
K01-12058-1 (K01P08),2022-08-28,0.004,FALSE
K01-12058-1 (K01P08),2022-08-29,0.003,FALSE
K01-12058-1 (K01P08),2022-08-30,0.007,FALSE
K01-12058-1 (K01P08),2022-08-31,0.005,FALSE
K01-12058-1 (K01P08),2022-09-01,0.002,FALSE
K01-12058-1 (K01P08),2022-09-02,0.01,FALSE
K01-12058-1 (K01P08),2022-09-03,0.016,FALSE
K01-12058-1 (K01P08),2022-09-04,0.005,FALSE
K01-12058-1 (K01P08),2022-09-05,0.008,FALSE
K01-12058-1 (K01P08),2022-09-06,0.011,FALSE
K01-12058-1 (K01P08),2022-09-07,0.01,FALSE
K01-12058-1 (K01P08),2022-09-08,0,FALSE
K01-12058-1 (K01P08),2022-09-09,0.003,FALSE
K01-12058-1 (K01P08),2022-09-14,0.007,FALSE
K01-12058-1 (K01P08),2022-09-15,0.002,FALSE
K01-12058-1 (K01P08),2022-09-16,0.003,FALSE
K01-12058-1 (K01P08),2022-09-17,0.004,FALSE
K01-12058-1 (K01P08),2022-09-18,0.005,FALSE
K01-12058-1 (K01P08),2022-09-19,0.003,FALSE
K01-12058-1 (K01P08),2022-09-20,0.007,FALSE
K01-12058-1 (K01P08),2022-09-21,0.015,FALSE
K01-12058-1 (K01P08),2022-09-22,0.009,FALSE
K01-12058-1 (K01P08),2022-09-23,0.023,FALSE
K01-12058-1 (K01P08),2022-09-24,0.028,FALSE
K01-12058-1 (K01P08),2022-09-25,0.024,FALSE
K01-12058-1 (K01P08),2022-09-26,0.012,FALSE
K01-12058-1 (K01P08),2022-09-27,0.014,FALSE
K01-12058-1 (K01P08),2022-09-28,0.007,FALSE
K01-12058-1 (K01P08),2022-09-29,0.014,FALSE
K01-12058-1 (K01P08),2022-09-30,0.005,FALSE
K01-12058-1 (K01P08),2022-10-01,0.002,FALSE
K01-12058-1 (K01P08),2022-10-02,0.002,FALSE
