Station,median_wet,average_wet,sd_wet
J01-10004-1 (J01P01),0.063,0.07018045112781955,0.027339014908342587
J01-10017-1 (J01TBN4),0,0.2485,1.1089724262150358
J01-10019-1 (J01P33),0.021,0.020888111888111887,0.006251878472754978
J01-9005-1 (J03P05),0.014,0.014377622377622377,0.003937548024843179
J01-9005-3,0.803,0.8863111111111112,0.5661411573989389
J01-9007-1 (J02P05),0.029,0.03086013986013986,0.009986329669202371
J01-9008-1 (J01P30),0.083,0.20268695652173913,0.2984376089023008
J01-9046-1,0.002,0.0024210526315789475,0.001633969540514799
J01-9046-2,0.001,0.04717886178861789,0.2798699941899349
J01-9066-1 (J01P04),0,0.04533333333333333,0.2333665269429956
J01-9066-2 (J01P03),0.116,1.0988345864661655,8.830242077038305
J01-9082-2,0.028,0.03427972027972028,0.023145104308305294
J01-9082-3,0.002,0.0017622377622377623,0.001352920898336455
J01-9082-4,0,0.011171641791044776,0.021920404927178543
J01-9131-1 (J01P28),0.018,0.02160839160839161,0.02226758996586331
J01-9144-1 (J01P23),0.006,0.007503496503496503,0.0083352924582419
J01-9224-1 (J01P24),0.004,0.0050979020979020975,0.003436167791150372
J01-9273-1,0,0,0
J01-9377-1,0.002,0.07765217391304348,0.24861363117271298
J01-9992-1 (J01P27),0.01,0.028865546218487394,0.04156696136901703
J03-9215-3,0.038,0.038507462686567163,0.010666331167805732
J03-9234-6,0.027,0.03177464788732395,0.025849919918719582
J03-9368-1 (J03TBN1),0,0.003189189189189189,0.016873157474794
J06-10011-1 (J06P01),0,0.03541221374045801,0.27629938807329457
J06-9079-1 (J06P03),0.028,0.02815942028985507,0.0061682850805928734
J07-9109-4 (J07P02),0.003,0.004923076923076923,0.006542109812529961
J07-9110-2,0.001,0.001,0
J07-9110-3,0,0.0029774436090225565,0.034163259142440415
